Genome	Permutation	Clusters
354	6	Perm13	12929
355	7	Perm13	15583
356	8	Perm13	17563
357	9	Perm13	19062
358	10	Perm13	19985
359	11	Perm13	21158
360	12	Perm13	22002
361	13	Perm13	22786
362	14	Perm13	23814
363	15	Perm13	24593
364	16	Perm13	25500
365	17	Perm13	26216
366	18	Perm13	26851
367	19	Perm13	27410
368	20	Perm13	27939
369	21	Perm13	28690
370	22	Perm13	28916
371	23	Perm13	29170
372	24	Perm13	29508
373	25	Perm13	29977
374	26	Perm13	30154
375	27	Perm13	30451
376	28	Perm13	30920
377	29	Perm13	30970
378	1	Perm14	2989
379	2	Perm14	4893
380	3	Perm14	6208
381	4	Perm14	10629
382	5	Perm14	13169
383	6	Perm14	14863
384	7	Perm14	16292
385	8	Perm14	17315
386	9	Perm14	18462
387	10	Perm14	19380
388	11	Perm14	20339
389	12	Perm14	21263
390	13	Perm14	22717
391	14	Perm14	23088
392	15	Perm14	23785
393	16	Perm14	24373
394	17	Perm14	25024
395	18	Perm14	25669
396	19	Perm14	26093
397	20	Perm14	26944
398	21	Perm14	27418
399	22	Perm14	28072
400	23	Perm14	28476
401	24	Perm14	28871
402	25	Perm14	29756
403	26	Perm14	29994
404	27	Perm14	30513
405	28	Perm14	30675
406	29	Perm14	30970
407	1	Perm15	4356
408	2	Perm15	8111
409	3	Perm15	10776
410	4	Perm15	12495
411	5	Perm15	14556
412	6	Perm15	15984
413	7	Perm15	17202
414	8	Perm15	19493
415	9	Perm15	20518
416	10	Perm15	20934
417	11	Perm15	21892
418	12	Perm15	22646
419	13	Perm15	23448
420	14	Perm15	24100
421	15	Perm15	24472
422	16	Perm15	24850
423	17	Perm15	25479
424	18	Perm15	26051
425	19	Perm15	26589
426	20	Perm15	26914
427	21	Perm15	26945
428	22	Perm15	27103
429	23	Perm15	27601
430	24	Perm15	28360
431	25	Perm15	29238
432	26	Perm15	29497
433	27	Perm15	30017
434	28	Perm15	30165
435	29	Perm15	30970
436	1	Perm16	3309
437	2	Perm16	7427
438	3	Perm16	11092
439	4	Perm16	13287
440	5	Perm16	15009
441	6	Perm16	16197
442	7	Perm16	17301
443	8	Perm16	18479
444	9	Perm16	19450
445	10	Perm16	20521
446	11	Perm16	21450
447	12	Perm16	22222
448	13	Perm16	23039
449	14	Perm16	23991
450	15	Perm16	24707
451	16	Perm16	25598
452	17	Perm16	26536
453	18	Perm16	27136
454	19	Perm16	27352
455	20	Perm16	27573
456	21	Perm16	28111
457	22	Perm16	28275
458	23	Perm16	28554
459	24	Perm16	29043
460	25	Perm16	29554
461	26	Perm16	29864
462	27	Perm16	30370
463	28	Perm16	30489
464	29	Perm16	30970
465	1	Perm17	4386
466	2	Perm17	8787
467	3	Perm17	11514
468	4	Perm17	12739
469	5	Perm17	13790
470	6	Perm17	15536
471	7	Perm17	16644
472	8	Perm17	18248
473	9	Perm17	19439
474	10	Perm17	20472
475	11	Perm17	21815
476	12	Perm17	22806
477	13	Perm17	23558
478	14	Perm17	24172
479	15	Perm17	24742
480	16	Perm17	25521
481	17	Perm17	26197
482	18	Perm17	26595
483	19	Perm17	27145
484	20	Perm17	27907
485	21	Perm17	28065
486	22	Perm17	28405
487	23	Perm17	28864
488	24	Perm17	29356
489	25	Perm17	29618
490	26	Perm17	29637
491	27	Perm17	30178
492	28	Perm17	30675
493	29	Perm17	30970
494	1	Perm18	3309
495	2	Perm18	7627
496	3	Perm18	10604
497	4	Perm18	12554
498	5	Perm18	13647
499	6	Perm18	15917
500	7	Perm18	17082
501	8	Perm18	18935
502	9	Perm18	20048
503	10	Perm18	20957
504	11	Perm18	21939
505	12	Perm18	22814
506	13	Perm18	23677
507	14	Perm18	24086
508	15	Perm18	24613
509	16	Perm18	25524
510	17	Perm18	26090
511	18	Perm18	26929
512	19	Perm18	27499
513	20	Perm18	27802
514	21	Perm18	28035
515	22	Perm18	28599
516	23	Perm18	29149
517	24	Perm18	29644
518	25	Perm18	30185
519	26	Perm18	30683
520	27	Perm18	30805
521	28	Perm18	30935
522	29	Perm18	30970
523	1	Perm19	4631
524	2	Perm19	7832
525	3	Perm19	9807
526	4	Perm19	12334
527	5	Perm19	13450
528	6	Perm19	14363
529	7	Perm19	16271
530	8	Perm19	17317
531	9	Perm19	18360
532	10	Perm19	19403
533	11	Perm19	20502
534	12	Perm19	22063
535	13	Perm19	23116
536	14	Perm19	24017
537	15	Perm19	24795
538	16	Perm19	25429
539	17	Perm19	26065
540	18	Perm19	26537
541	19	Perm19	27161
542	20	Perm19	27773
543	21	Perm19	28036
544	22	Perm19	28527
545	23	Perm19	29090
546	24	Perm19	29275
547	25	Perm19	29415
548	26	Perm19	29746
549	27	Perm19	30283
550	28	Perm19	30521
551	29	Perm19	30970
552	1	Perm20	4631
553	2	Perm20	7682
554	3	Perm20	10483
555	4	Perm20	12294
556	5	Perm20	13716
557	6	Perm20	14695
558	7	Perm20	17060
559	8	Perm20	18549
560	9	Perm20	19308
561	10	Perm20	20305
562	11	Perm20	21240
563	12	Perm20	21815
564	13	Perm20	22536
565	14	Perm20	23110
566	15	Perm20	23960
567	16	Perm20	24872
568	17	Perm20	25709
569	18	Perm20	26687
570	19	Perm20	27026
571	20	Perm20	27605
572	21	Perm20	28195
573	22	Perm20	28434
574	23	Perm20	28623
575	24	Perm20	29057
576	25	Perm20	29572
577	26	Perm20	29624
578	27	Perm20	29659
579	28	Perm20	30098
580	29	Perm20	30970
581	1	Perm21	5310
582	2	Perm21	8099
583	3	Perm21	10138
584	4	Perm21	12723
585	5	Perm21	14013
586	6	Perm21	16115
587	7	Perm21	17702
588	8	Perm21	18730
589	9	Perm21	19844
590	10	Perm21	20701
591	11	Perm21	21479
592	12	Perm21	22064
593	13	Perm21	22775
594	14	Perm21	23405
595	15	Perm21	24024
596	16	Perm21	24991
597	17	Perm21	25542
598	18	Perm21	26052
599	19	Perm21	26485
600	20	Perm21	27302
601	21	Perm21	27656
602	22	Perm21	27815
603	23	Perm21	28591
604	24	Perm21	29470
605	25	Perm21	29565
606	26	Perm21	29788
607	27	Perm21	30263
608	28	Perm21	30732
609	29	Perm21	30970
610	1	Perm22	3133
611	2	Perm22	7651
612	3	Perm22	9817
613	4	Perm22	12980
614	5	Perm22	14157
615	6	Perm22	16237
616	7	Perm22	17780
617	8	Perm22	18758
618	9	Perm22	19980
619	10	Perm22	20854
620	11	Perm22	21641
621	12	Perm22	22508
622	13	Perm22	23214
623	14	Perm22	23875
624	15	Perm22	24753
625	16	Perm22	25213
626	17	Perm22	25855
627	18	Perm22	26356
628	19	Perm22	26946
629	20	Perm22	27251
630	21	Perm22	27539
631	22	Perm22	27712
632	23	Perm22	27861
633	24	Perm22	28743
634	25	Perm22	29579
635	26	Perm22	30029
636	27	Perm22	30502
637	28	Perm22	30521
638	29	Perm22	30970
639	1	Perm23	3367
640	2	Perm23	5236
641	3	Perm23	9785
642	4	Perm23	11271
643	5	Perm23	12369
644	6	Perm23	15426
645	7	Perm23	16396
646	8	Perm23	18317
647	9	Perm23	18885
648	10	Perm23	20363
649	11	Perm23	21749
650	12	Perm23	22716
651	13	Perm23	23406
652	14	Perm23	24015
653	15	Perm23	24466
654	16	Perm23	24965
655	17	Perm23	25190
656	18	Perm23	25382
657	19	Perm23	25405
658	20	Perm23	25731
659	21	Perm23	26357
660	22	Perm23	27125
661	23	Perm23	27716
662	24	Perm23	28269
663	25	Perm23	28412
664	26	Perm23	28870
665	27	Perm23	29751
666	28	Perm23	30565
667	29	Perm23	30970
668	1	Perm24	1643
669	2	Perm24	4626
670	3	Perm24	8460
671	4	Perm24	10326
672	5	Perm24	11665
673	6	Perm24	12758
674	7	Perm24	13690
675	8	Perm24	16604
676	9	Perm24	17424
677	10	Perm24	19834
678	11	Perm24	20714
679	12	Perm24	21486
680	13	Perm24	22315
681	14	Perm24	24077
682	15	Perm24	24888
683	16	Perm24	25812
684	17	Perm24	26368
685	18	Perm24	27084
686	19	Perm24	27583
687	20	Perm24	27878
688	21	Perm24	27970
689	22	Perm24	28256
690	23	Perm24	28786
691	24	Perm24	29487
692	25	Perm24	29677
693	26	Perm24	30191
694	27	Perm24	30626
695	28	Perm24	30847
696	29	Perm24	30970
697	1	Perm25	3367
698	2	Perm25	5360
699	3	Perm25	6888
700	4	Perm25	7956
