Genome	Permutation	Clusters
342	6	Perm13	837279
343	7	Perm13	868819
344	8	Perm13	891643
345	9	Perm13	910655
346	10	Perm13	928904
347	11	Perm13	951213
348	12	Perm13	963449
349	13	Perm13	973076
350	14	Perm13	978781
351	15	Perm13	992220
352	16	Perm13	997116
353	17	Perm13	1008786
354	18	Perm13	1016132
355	19	Perm13	1038567
356	20	Perm13	1042708
357	21	Perm13	1046453
358	22	Perm13	1053418
359	23	Perm13	1061240
360	24	Perm13	1130029
361	25	Perm13	1131618
362	26	Perm13	1171054
363	27	Perm13	1174496
364	28	Perm13	1177920
365	1	Perm14	284929
366	2	Perm14	615497
367	3	Perm14	715265
368	4	Perm14	777689
369	5	Perm14	820478
370	6	Perm14	880554
371	7	Perm14	902807
372	8	Perm14	929732
373	9	Perm14	943906
374	10	Perm14	956158
375	11	Perm14	964652
376	12	Perm14	975314
377	13	Perm14	981641
378	14	Perm14	986688
379	15	Perm14	1001030
380	16	Perm14	1013637
381	17	Perm14	1025247
382	18	Perm14	1031700
383	19	Perm14	1033619
384	20	Perm14	1035347
385	21	Perm14	1036360
386	22	Perm14	1048037
387	23	Perm14	1117262
388	24	Perm14	1124348
389	25	Perm14	1130853
390	26	Perm14	1138136
391	27	Perm14	1138682
392	28	Perm14	1177920
393	1	Perm15	512270
394	2	Perm15	593403
395	3	Perm15	666358
396	4	Perm15	753072
397	5	Perm15	798390
398	6	Perm15	830743
399	7	Perm15	862156
400	8	Perm15	887070
401	9	Perm15	906340
402	10	Perm15	929552
403	11	Perm15	936846
404	12	Perm15	951190
405	13	Perm15	966928
406	14	Perm15	973537
407	15	Perm15	1050043
408	16	Perm15	1065549
409	17	Perm15	1068774
410	18	Perm15	1071738
411	19	Perm15	1082381
412	20	Perm15	1127222
413	21	Perm15	1134451
414	22	Perm15	1157562
415	23	Perm15	1159908
416	24	Perm15	1164663
417	25	Perm15	1168969
418	26	Perm15	1172685
419	27	Perm15	1177577
420	28	Perm15	1177920
421	1	Perm16	507666
422	2	Perm16	621535
423	3	Perm16	683874
424	4	Perm16	729182
425	5	Perm16	787894
426	6	Perm16	840948
427	7	Perm16	865224
428	8	Perm16	885448
429	9	Perm16	904315
430	10	Perm16	924203
431	11	Perm16	935737
432	12	Perm16	965039
433	13	Perm16	976431
434	14	Perm16	983198
435	15	Perm16	1004536
436	16	Perm16	1009211
437	17	Perm16	1020216
438	18	Perm16	1029959
439	19	Perm16	1101878
440	20	Perm16	1104146
441	21	Perm16	1105993
442	22	Perm16	1107809
443	23	Perm16	1108500
444	24	Perm16	1109595
445	25	Perm16	1110006
446	26	Perm16	1116587
447	27	Perm16	1156598
448	28	Perm16	1177920
449	1	Perm17	507666
450	2	Perm17	616491
451	3	Perm17	677351
452	4	Perm17	754388
453	5	Perm17	795225
454	6	Perm17	829155
455	7	Perm17	864917
456	8	Perm17	885987
457	9	Perm17	905693
458	10	Perm17	915255
459	11	Perm17	933378
460	12	Perm17	947035
461	13	Perm17	956430
462	14	Perm17	969670
463	15	Perm17	987266
464	16	Perm17	1001123
465	17	Perm17	1011075
466	18	Perm17	1034501
467	19	Perm17	1046109
468	20	Perm17	1050021
469	21	Perm17	1054870
470	22	Perm17	1057771
471	23	Perm17	1062442
472	24	Perm17	1063343
473	25	Perm17	1131666
474	26	Perm17	1171758
475	27	Perm17	1177023
476	28	Perm17	1177920
477	1	Perm18	531851
478	2	Perm18	643873
479	3	Perm18	705441
480	4	Perm18	806871
481	5	Perm18	876249
482	6	Perm18	900776
483	7	Perm18	941868
484	8	Perm18	956237
485	9	Perm18	976171
486	10	Perm18	1009663
487	11	Perm18	1021355
488	12	Perm18	1029419
489	13	Perm18	1036117
490	14	Perm18	1064672
491	15	Perm18	1072697
492	16	Perm18	1079793
493	17	Perm18	1083460
494	18	Perm18	1085556
495	19	Perm18	1086644
496	20	Perm18	1097028
497	21	Perm18	1098474
