Genome	Permutation	Clusters
622	13	Perm22	27245
623	14	Perm22	27532
624	15	Perm22	27741
625	16	Perm22	27978
626	17	Perm22	28237
627	18	Perm22	28441
628	19	Perm22	28590
629	20	Perm22	28796
630	21	Perm22	28926
631	22	Perm22	29038
632	23	Perm22	29202
633	24	Perm22	29366
634	25	Perm22	29458
635	26	Perm22	29566
636	27	Perm22	29645
637	28	Perm22	29763
638	29	Perm22	29897
639	1	Perm23	12841
640	2	Perm23	18287
641	3	Perm23	20437
642	4	Perm23	22206
643	5	Perm23	23017
644	6	Perm23	23734
645	7	Perm23	24098
646	8	Perm23	24768
647	9	Perm23	25154
648	10	Perm23	25443
649	11	Perm23	25834
650	12	Perm23	26326
651	13	Perm23	26679
652	14	Perm23	27098
653	15	Perm23	27271
654	16	Perm23	27513
655	17	Perm23	27652
656	18	Perm23	27826
657	19	Perm23	28038
658	20	Perm23	28182
659	21	Perm23	28313
660	22	Perm23	28604
661	23	Perm23	28742
662	24	Perm23	28906
663	25	Perm23	28990
664	26	Perm23	29604
665	27	Perm23	29694
666	28	Perm23	29763
667	29	Perm23	29897
668	1	Perm24	16315
669	2	Perm24	18602
670	3	Perm24	19909
671	4	Perm24	21430
672	5	Perm24	22101
673	6	Perm24	23600
674	7	Perm24	24340
675	8	Perm24	24962
676	9	Perm24	25277
677	10	Perm24	25670
678	11	Perm24	25877
679	12	Perm24	26114
680	13	Perm24	26366
681	14	Perm24	26642
682	15	Perm24	27052
683	16	Perm24	27346
684	17	Perm24	27685
685	18	Perm24	27844
686	19	Perm24	27969
687	20	Perm24	28184
688	21	Perm24	28823
689	22	Perm24	29020
690	23	Perm24	29147
691	24	Perm24	29278
692	25	Perm24	29451
693	26	Perm24	29558
694	27	Perm24	29670
695	28	Perm24	29799
696	29	Perm24	29897
697	1	Perm25	16156
698	2	Perm25	18692
699	3	Perm25	20693
700	4	Perm25	21536
701	5	Perm25	22293
702	6	Perm25	22867
703	7	Perm25	23276
704	8	Perm25	23871
705	9	Perm25	24432
706	10	Perm25	25734
707	11	Perm25	26066
708	12	Perm25	26387
709	13	Perm25	26674
710	14	Perm25	26943
711	15	Perm25	27157
712	16	Perm25	27822
713	17	Perm25	27956
714	18	Perm25	28205
715	19	Perm25	28497
716	20	Perm25	28664
717	21	Perm25	28805
718	22	Perm25	28908
719	23	Perm25	29182
720	24	Perm25	29303
721	25	Perm25	29406
722	26	Perm25	29500
723	27	Perm25	29643
724	28	Perm25	29790
725	29	Perm25	29897
726	1	Perm26	16482
727	2	Perm26	18839
728	3	Perm26	20084
729	4	Perm26	20948
730	5	Perm26	22374
731	6	Perm26	23098
732	7	Perm26	23692
